City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,tofol,5.3248,163.0078,25.08,97,100,7.34,FM,1696017673
111,nuuk,64.1835,-51.7216,2.34,87,75,7.6,GL,1696017673
112,gazojak,41.1875,61.4036,18.11,30,9,2.65,TM,1696017673
113,muynoq,43.7683,59.0214,16.38,67,66,3.44,UZ,1696017674
114,el granada,37.5027,-122.4694,25.45,84,100,9.77,US,1696017674
115,badger,64.8,-147.5333,3.17,66,75,0.0,US,1696017674
116,sandnessjoen,66.0217,12.6316,10.29,87,100,3.99,NO,1696017675
117,sault ste. marie,46.5168,-84.3333,19.16,70,100,3.6,CA,1696017501
118,holualoa,19.6228,-155.9522,27.15,72,17,1.79,US,1696017675
119,mejit,10.2753,170.8646,28.62,76,100,6.81,MH,1696017675
120,ponta delgada,37.7333,-25.6667,23.4,94,40,6.17,PT,1696017617
121,talnakh,69.4865,88.3972,-2.66,85,100,5.33,RU,1696017676
122,souk ahras,36.2864,7.9511,16.42,78,0,1.88,DZ,1696017676
123,ghat,24.9647,10.1728,28.08,29,68,6.11,LY,1696017677
124,valparaiso,-33.0393,-71.6273,16.8,57,0,5.14,CL,1696017523
125,tazacorte,28.629,-17.9293,24.54,85,75,0.51,ES,1696017677
126,robertsport,6.7533,-11.3686,26.62,86,97,3.3,LR,1696017677
127,eyl,7.9803,49.8164,26.6,81,49,8.81,SO,1696017678
128,general conesa,-40.1,-64.4333,14.88,26,0,4.18,AR,1696017678
129,port lincoln,-34.7333,135.8667,19.61,30,0,6.92,AU,1696017678
130,khandyga,62.6667,135.6,-1.94,64,68,1.77,RU,1696017679
131,northam,51.0333,-4.2167,14.81,90,100,2.69,GB,1696017679
132,hithadhoo,-0.6,73.0833,28.06,76,0,6.74,MV,1696017679
133,ulaangom,49.9811,92.0667,6.1,66,100,0.48,MN,1696017680
134,smithers,54.7804,-127.1743,10.18,71,75,3.09,CA,1696017680
135,port mathurin,-19.6833,63.4167,22.86,65,62,8.44,MU,1696017664
136,katsuren-haebaru,26.3369,127.8719,28.43,94,40,2.06,JP,1696017680
137,bodo,67.28,14.405,12.02,94,75,3.09,NO,1696017681
138,papatowai,-46.5619,169.4708,4.59,76,100,9.29,NZ,1696017681
139,chengde,40.9725,117.9361,9.58,65,0,2.47,CN,1696017681
140,detroit lakes,46.8172,-95.8453,18.81,90,100,1.54,US,1696017682
141,guarapari,-20.6667,-40.4975,22.16,82,100,2.66,BR,1696017522
142,newman,37.3138,-121.0208,28.46,30,6,1.93,US,1696017683
143,saudarkrokur,65.7461,-19.6394,5.18,83,100,1.64,IS,1696017683
144,kailua-kona,19.6406,-155.9956,28.66,73,17,1.79,US,1696017595
145,andradina,-20.8961,-51.3794,35.09,27,4,3.19,BR,1696017531
146,dunedin,-45.8742,170.5036,4.33,85,76,4.02,NZ,1696017333
147,kiunga,-6.1219,141.2906,21.98,98,100,1.73,PG,1696017684
148,saipan,15.1355,145.701,28.68,77,100,5.05,MP,1696017684
149,kapuskasing,49.4169,-82.4331,22.05,35,40,5.14,CA,1696017396
150,humaita,-7.5061,-63.0208,35.58,38,92,1.03,BR,1696017685
151,utrik,11.2278,169.8474,28.76,78,97,7.37,MH,1696017685
152,paso de los libres,-29.7131,-57.0899,23.02,53,20,7.72,AR,1696017660
153,colonia,50.9333,6.95,17.2,84,100,4.12,DE,1696017616
154,vila velha,-20.3297,-40.2925,22.97,81,100,5.14,BR,1696017686
155,easton,40.6884,-75.2207,20.1,87,100,5.14,US,1696017687
156,el gouna,27.3942,33.6782,33.05,35,0,4.49,EG,1696017687
157,coquimbo,-29.9533,-71.3436,15.85,72,40,7.2,CL,1696017687
158,avarua,-21.2078,-159.775,26.03,83,6,6.17,CK,1696017688
159,solleftea,63.1667,17.2667,11.92,90,90,1.76,SE,1696017688
160,hilo,19.7297,-155.09,28.47,75,0,2.68,US,1696017391
161,luderitz,-26.6481,15.1594,15.43,68,5,2.98,NA,1696017689
162,opuwo,-18.0607,13.84,21.44,44,7,3.6,NA,1696017689
163,tezu,27.9167,96.1667,24.07,86,7,2.33,IN,1696017689
164,olonkinbyen,70.9221,-8.7187,2.58,83,100,7.16,SJ,1696017690
165,carnarvon,-24.8667,113.6333,18.85,77,3,9.76,AU,1696017690
166,leh,34.1667,77.5833,7.76,29,20,2.39,IN,1696017690
167,wailua homesteads,22.0669,-159.378,27.08,81,100,3.58,US,1696017690
168,longyearbyen,78.2186,15.6401,0.91,69,75,2.57,SJ,1696017471
169,alofi,-19.0595,-169.9187,24.94,88,45,4.12,NU,1696017691
170,minna,9.6139,6.5569,26.84,83,0,2.57,NG,1696017691
171,chico,39.7285,-121.8375,26.47,36,40,3.6,US,1696017584
172,georgetown,5.4112,100.3354,26.12,95,20,2.06,MY,1696017605
173,bata,1.8639,9.7658,25.72,85,97,2.04,GQ,1696017692
174,patterson,37.4716,-121.1297,27.23,28,5,2.79,US,1696017602
175,la'ie,21.6477,-157.9253,29.98,78,97,1.79,US,1696017693
176,porbandar,21.6422,69.6093,28.02,76,100,4.14,IN,1696017693
177,pariaman,-0.619,100.12,25.03,86,55,1.45,ID,1696017694
178,chiredzi,-21.05,31.6667,24.84,60,3,1.61,ZW,1696017694
179,papao,-17.75,-149.55,26.82,82,46,10.0,PF,1696017694
180,inarajan village,13.2736,144.7484,26.33,96,100,3.07,GU,1696017694
181,princeville,45.7668,-61.2985,20.73,64,0,4.12,CA,1696017695
182,faya-largeau,17.9257,19.1043,32.36,38,93,2.0,TD,1696017695
183,bembereke,10.2283,2.6634,24.24,75,100,1.71,BJ,1696017696
184,mount isa,-20.7333,139.5,22.87,38,0,4.63,AU,1696017696
185,jhinjhak,26.5667,79.7333,25.97,44,70,2.05,IN,1696017696
186,ulety,51.3572,112.4849,4.51,89,93,1.63,RU,1696017697
187,puerto deseado,-47.7503,-65.8938,10.76,55,36,11.11,AR,1696017697
188,marinette,45.1,-87.6307,21.05,68,100,3.6,US,1696017697
189,atafu village,-8.5421,-172.5159,28.69,71,5,4.7,TK,1696017698
190,nicoya,10.1483,-85.452,30.21,72,91,1.87,CR,1696017698
191,lebu,-37.6167,-73.65,13.59,71,0,5.95,CL,1696017698
192,santa ana,33.7456,-117.8678,24.52,68,100,3.09,US,1696017698
193,beau vallon,-20.4189,57.6953,23.45,83,75,4.63,MU,1696017699
194,sao joao da barra,-21.6403,-41.0511,23.05,76,100,4.6,BR,1696017681
195,polyarnyy,69.1989,33.4478,10.5,91,100,5.85,RU,1696017699
196,sisimiut,66.9395,-53.6735,2.52,83,79,1.57,GL,1696017700
197,yung shue wan,22.2333,114.1167,29.26,81,8,0.45,HK,1696017700
198,namibe,-15.1961,12.1522,19.13,86,89,4.67,AO,1696017700
199,ambon,-3.6954,128.1814,27.15,95,40,2.57,ID,1696017701
200,iskateley,67.6803,53.1512,1.71,79,99,6.6,RU,1696017701
201,larisa,39.6372,22.4203,20.59,94,40,0.0,GR,1696017701
202,leticia,-4.2153,-69.9406,33.03,62,40,2.06,CO,1696017702
203,hammerfest,70.6634,23.6821,8.25,93,75,2.06,NO,1696017702
